nome,conselho_regional,registo,localidade,data_constituicao,email,morada,codigo_postal,telefone,telemovel,fax,url_fonte,zona_evento,tipo_evento,observacoes
"FRANCISCO DIAS PEREIRA E ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL",Porto,19/93,GUIMARÃES,04-01-1993,drdiaspereira-4433p@adv.oa.pt,"Largo da República do Brasil, n.º 437 C, 2.º andar V - 451",4810-446 GUIMARÃES,+351253780797,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"FRANCISCO MANUEL ESPINHAÇO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,25/19,PORTO,23-07-2019,geral@espinhacoadvogados.pt,"Praça do Bom Sucesso, n.º 61, Edf. Trace Center, sl 906 e 907",4150-146 PORTO,+351226005816,,+351226005504,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"FRANCLIM FERREIRA ROSA ARANTES - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,26/20,PORTO,22-09-2020,franclimferreira-10861p@adv.oa.pt,"Rua Santo Ildefonso, n.º 366 - 1º esq. frt.",4000-470 PORTO,+351225361925,,+351225361925,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"FREITAS CARVALHO, CARVALHO & ASSOCIADOS - SOCEIDADE DE ADVOGADOS, RL",Porto,46/14,GUIMARÃES,12-08-2014,info@freitascarvalho.pt,"largo República do Brasil, 437C, 2º X",4810-446 GUIMARÃES,+351253095086,,+351253095088,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"FREITAS, GIRALDES & LEÃO-SOCIEDADE DE ADVOGADOS RL",Porto,47/03,PORTO,25-06-2003,fgl@fgl.pt,"R. António Cardoso, 332",4150-079 PORTO,+351226079400,,+351226079409,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"GABRIEL FREITAS & SANDRA COSTA VELOSO - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,25/03,AVES,01-04-2003,sadv@sapo.pt,"Av. Comendador Silva Araújo, ""CI""",4795-003 AVES,+351252874627,,+351252874628,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"GAMA LOBO XAVIER, LUÍS TEIXEIRA E MELO E ASSOCIADOS - SOCIEDADE MULTIDISCIPLINAR DE ADVOGADOS E CONSULTORES, SP, RL",Porto,24/89,GUIMARÃES,02-05-1989,geral@gamalobomelo.com,"Avª. General Humberto Delgado, 181",4800-158 GUIMARÃES,+351253421600,,+351253413086,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"GAVINA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,19/07,PORTO,17-05-2007,soc.@oa.pt,"Av. da França, n.º 256 - E. 4.1",4050-276 PORTO,+351222087731,,+351222050947,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"GERALDES MARTINS & NOGUEIRA TAVARES - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,45/13,PORTO,02-09-2013,geral@gmnt.pt,"Rua do Campo Alegre n.º 1306, 5º, sala 509",4150-174 PORTO,+351225400466,,+351225400469,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
"GIAMBRONE & ASSOCIADOS, SOCIEDADE DE ADVOGADOS SP, RL",Porto,32/21,PORTO,12-07-2021,tiago.santos@giambronelaw.com,"Rua Sá da Bandeira, n.º 182, 1.º andar",4000-428 PORTO,+351221201330,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=15,Porto,Teste,
